"Date_collected","Site","State","Bed_height_cm","Season"
2023-06-12,"ASHC","CT",64,"Spring"
2023-06-12,"ASHC","CT",64,"Spring"
2023-06-12,"ASHC","CT",51.5,"Spring"
2023-06-12,"ASHC","CT",47,"Spring"
2023-06-12,"ASHC","CT",63,"Spring"
2023-06-12,"ASHC","CT",54,"Spring"
2023-06-14,"FENC","CT",52,"Spring"
2023-06-14,"FENC","CT",63.5,"Spring"
2023-06-14,"FENC","CT",103.5,"Spring"
2023-06-14,"FENC","CT",79,"Spring"
2023-06-14,"FENC","CT",100,"Spring"
2023-06-14,"FENC","CT",66,"Spring"
2023-06-14,"FENC","CT",115,"Spring"
2023-06-14,"FENC","CT",107,"Spring"
2023-06-14,"FENC","CT",104,"Spring"
