"lab_id","date_collected","site","lab_sample","date_processed","height_mm","condition","sample_notes","mantle_rftm","ggr1_frozen","ggr2_etoh","cross_histology","date_davidsons","date_etoh","...15","...16","...17","ww_total_g","length_mm","width_mm","dissection_notes","ggr1_etoh","adductor_etoh","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...18","...19","...20"
"1023FENC_07",2023-10-05,"FENC",7,2023-10-05,103.75,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,62.27,53.34,20.79,"conchiolin; mud blister- stabbed during shocking, bad histo cut",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_08",2023-10-05,"FENC",8,2023-10-05,112.83,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,93.48,53.92,20.7,"conchiolin; mud blister",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_09",2023-10-05,"FENC",9,2023-10-05,113,"8_poor",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,51.9,41.36,24.97,"conchiolin; mud blister; pea crab- maybe already dead",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_10",2023-10-05,"FENC",10,2023-10-05,126.11,"6_fair_minus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,121.49,51.39,26.09,"conchiolin; mud blister; pea crab",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_11",2023-10-05,"FENC",11,2023-10-05,123.08,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,103.94,51.07,23.06,"conchiolin; mud blister",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_12",2023-10-05,"FENC",12,2023-10-05,105.55,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,76.61,47.37,23.28,"conchiolin; mud blister",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_13",2023-10-05,"FENC",13,2023-10-05,93.33,"3_good_minus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,80.74,59.96,24.87,"conchiolin; mud blister",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_14",2023-10-05,"FENC",14,2023-10-05,117.74,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,63.22,48.35,22.08,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_15",2023-10-05,"FENC",15,2023-10-05,75.28,"3_good_minus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,63.5,52.77,28.01,"conchiolin; mud blister",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_16",2023-10-05,"FENC",16,2023-10-05,132.22,"3_good_minus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,136.14,61.9,27.42,"conchiolin; mud blister",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_17",2023-10-05,"FENC",17,2023-10-05,133.29,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,117.44,55.15,27.85,"conchiolin; mud blister",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_18",2023-10-05,"FENC",18,2023-10-05,141.9,"3_good_minus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,124.81,57.25,24.56,"conchiolin; mud blister , gill erosion",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_19",2023-10-05,"FENC",19,2023-10-05,135.63,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,200.99,61.73,36.21,"conchiolin; mud blister",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_20",2023-10-05,"FENC",20,2023-10-05,133.41,"3_good_minus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,155.38,59.01,23.49,"conchiolin; mud blister",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_21",2023-10-05,"FENC",21,2023-10-05,106.16,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,61.07,45.03,18.9,"conchiolin; mud blister",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_22",2023-10-05,"FENC",22,2023-10-05,92.15,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,52.07,51.56,14.5,"pea crab",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_23",2023-10-05,"FENC",23,2023-10-05,123.11,"3_good_minus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,89.91,43.3,23.49,"conchiolin; mud blister",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_24",2023-10-05,"FENC",24,2023-10-05,145.13,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,93.95,42.64,20.47,"conchiolin; mud blister; pea crab",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_25",2023-10-05,"FENC",25,2023-10-05,111.91,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,101.58,49.66,24.69,"conchiolin; mud blister",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_26",2023-10-05,"FENC",26,2023-10-05,118.96,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,87.67,53.88,20.17,"conchiolin; mud blister",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_27",2023-10-05,"FENC",27,2023-10-05,141.64,"3_good_minus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,127.7,53.62,27.41,"conchiolin; mud blister",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_28",2023-10-05,"FENC",28,2023-10-05,129.51,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,93.04,56.37,18.07,"conchiolin; mud blister",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_29",2023-10-05,"FENC",29,2023-10-05,136.34,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,104.17,54.41,20.46,"conchiolin; blister",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023FENC_30",2023-10-05,"FENC",30,2023-10-05,106.06,"7_poor_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-05,2023-10-06,NA,NA,NA,44.4,39.89,18.68,"conchiolin; mud blister; abductor abscess",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_01",2023-10-16,"GOLD",1,2023-10-17,100.76,"5_fair",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,52.16,47.58,18.71,"gill notching",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_02",2023-10-16,"GOLD",2,2023-10-17,139.17,"4_fair_plus",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,83.23,55.2,25.54,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_03",2023-10-16,"GOLD",3,2023-10-17,150.36,"5_fair",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,108.59,60.56,22.52,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_04",2023-10-16,"GOLD",4,2023-10-17,122.26,"6_fair_minus",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,51.14,45.48,16.4,"pea crab, poor histology sample",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1023GOLD_05",2023-10-16,"GOLD",5,2023-10-17,110.8,"3_good_minus",NA,TRUE,NA,TRUE,TRUE,2023-10-17,2023-10-18,NA,NA,NA,93.22,61.9,26.54,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
