"type","threshold","numberFound","avgDurMinutes","avgAvgSalinity"
"Severe",0.99,1,160.000000005141,0.7894665
"Moderately Severe",4.99,4,175.000000001188,2.59944332355016
"Moderate",9.99,8,223.750000000945,5.55239338822379
"Marginal",14.99,18,199.444444444239,10.2575358110593
"Sub-Optimal",19.99,33,239.062499999322,14.3176481900291
