"type","durationMinutes","startTime","endTime","startNum","endNum","eventSalinity"
"Moderate",NA,NA,"2023-08-07 11:50:00",NA,53.63423,NA
"Moderate",60.0000000028615,"2023-08-15 05:50:00","2023-08-15 06:50:00",53.65546,53.65557,6.92992928571429
"Moderate",69.9999999989814,"2023-08-18 07:50:00","2023-08-18 09:00:00",53.66391,53.66404,4.545778625
"Moderate",150.000000001552,"2023-08-18 17:50:00","2023-08-18 20:20:00",53.66505,53.66533,7.613873875
"Marginal",NA,NA,"2023-08-07 12:00:00",NA,53.63425,NA
"Marginal",150.000000001552,"2023-08-07 21:40:00","2023-08-08 00:10:00",53.63535,53.63564,12.352589375
"Marginal",99.9999999985448,"2023-08-13 15:10:00","2023-08-13 16:50:00",53.65105,53.65124,13.3513963636364
"Marginal",90.0000000024249,"2023-08-15 05:20:00","2023-08-15 06:50:00",53.6554,53.65557,8.7923535
"Marginal",140.000000001697,"2023-08-15 16:10:00","2023-08-15 18:30:00",53.65664,53.65691,11.4142244666667
"Marginal",110.000000002134,"2023-08-18 07:10:00","2023-08-18 09:00:00",53.66383,53.66404,7.52870825
"Marginal",190.00000000097,"2023-08-18 17:10:00","2023-08-18 20:20:00",53.66497,53.66533,8.5957701
"Marginal",59.9999999953923,"2023-08-19 07:40:00","2023-08-19 08:40:00",53.66663,53.66674,12.7329271428571
"Sub-Optimal",NA,NA,"2023-08-07 12:00:00",NA,53.63425,NA
"Sub-Optimal",190.00000000097,"2023-08-07 21:00:00","2023-08-08 00:10:00",53.63527,53.63564,13.338665
"Sub-Optimal",169.999999997526,"2023-08-13 14:10:00","2023-08-13 17:00:00",53.65093,53.65126,15.0554433333333
"Sub-Optimal",89.9999999986903,"2023-08-14 04:20:00","2023-08-14 05:50:00",53.65255,53.65272,17.838066
"Sub-Optimal",120.000000001988,"2023-08-15 05:00:00","2023-08-15 07:00:00",53.65537,53.65559,11.0244757692308
"Sub-Optimal",199.99999999709,"2023-08-15 15:20:00","2023-08-15 18:40:00",53.65654,53.65693,13.0706289047619
"Sub-Optimal",130.000000001843,"2023-08-16 04:50:00","2023-08-16 07:00:00",53.65809,53.65833,17.2834214285714
"Sub-Optimal",89.9999999986903,"2023-08-16 17:40:00","2023-08-16 19:10:00",53.65955,53.65972,17.929038
"Sub-Optimal",70.000000002716,"2023-08-17 06:30:00","2023-08-17 07:40:00",53.66102,53.66115,18.1754325
"Sub-Optimal",150.000000001552,"2023-08-18 06:40:00","2023-08-18 09:10:00",53.66377,53.66406,10.0142299375
"Sub-Optimal",259.999999999951,"2023-08-18 16:00:00","2023-08-18 20:20:00",53.66484,53.66533,11.0991367407407
"Sub-Optimal",169.999999997526,"2023-08-19 05:50:00","2023-08-19 08:40:00",53.66642,53.66674,15.8816538888889
"Sub-Optimal",60.0000000028615,"2023-08-20 08:20:00","2023-08-20 09:20:00",53.66944,53.66956,17.8498528571429
"Sub-Optimal",89.9999999986903,"2023-08-22 08:50:00","2023-08-22 10:20:00",53.67498,53.67515,17.297617
"Sub-Optimal",59.9999999953923,"2023-08-30 17:30:00","2023-08-30 18:30:00",53.69789,53.698,18.5261385714286
"Sub-Optimal",79.9999999988358,"2023-08-31 06:00:00","2023-08-31 07:20:00",53.69932,53.69947,17.0198244444444
"Sub-Optimal",59.9999999991269,"2023-08-31 18:30:00","2023-08-31 19:30:00",53.70074,53.70086,18.4240371428571
