"type","durationMinutes","startTime","endTime","startNum","endNum","eventSalinity"
"Moderately Severe",199.99999999709,"2023-07-16 15:42:22","2023-07-16 19:02:22",53.5744,53.57478,2.39113466666667
"Moderately Severe",240.000000003977,"2023-07-17 04:02:22","2023-07-17 08:02:22",53.5758,53.57626,2.31049644
"Moderately Severe",190.00000000097,"2023-07-17 16:42:22","2023-07-17 19:52:22",53.57725,53.57761,3.09381755
"Moderately Severe",209.999999996944,"2023-07-18 05:12:22","2023-07-18 08:42:22",53.57868,53.57908,3.06072695454545
"Moderately Severe",190.00000000097,"2023-07-18 17:22:22","2023-07-18 20:32:22",53.58007,53.58043,2.61860695
"Moderately Severe",200.000000000824,"2023-07-19 06:02:22","2023-07-19 09:22:22",53.58151,53.58189,3.15788042857143
"Moderately Severe",59.9999999953923,"2023-07-19 20:12:22","2023-07-19 21:12:22",53.58313,53.58324,4.856981
"Moderately Severe",100.000000002279,"2023-07-22 09:02:22","2023-07-22 10:42:22",53.59007,53.59026,4.48643672727273
"Moderate",259.999999999951,"2023-07-16 14:52:22","2023-07-16 19:12:22",53.5743,53.5748,3.51725266666667
"Moderate",290.000000003249,"2023-07-17 03:12:22","2023-07-17 08:02:22",53.57571,53.57626,3.07624103333333
"Moderate",259.999999999951,"2023-07-17 15:32:22","2023-07-17 19:52:22",53.57712,53.57761,4.20183585185185
"Moderate",289.999999999515,"2023-07-18 03:52:22","2023-07-18 08:42:22",53.57852,53.57908,4.14758616666667
"Moderate",240.000000003977,"2023-07-18 16:32:22","2023-07-18 20:32:22",53.57997,53.58043,3.48038996
"Moderate",279.99999999966,"2023-07-19 04:42:22","2023-07-19 09:22:22",53.58136,53.58189,4.23493275862069
"Moderate",230.000000000388,"2023-07-19 17:22:22","2023-07-19 21:12:22",53.58281,53.58324,6.56278404166667
"Moderate",199.99999999709,"2023-07-20 06:32:22","2023-07-20 09:52:22",53.58431,53.58469,8.36216352380952
