"type","threshold","numberFound","avgDurMinutes","avgAvgDO"
"Severe",0.99,0,NA,NA
"Moderately Severe",1.99,0,NA,NA
"Moderate",2.99,5,109.999999998399,2.50813084727273
"Marginal",3.49,10,137.000000000621,3.00648616065476
"Sub-Optimal",4.79,29,213.928571428393,4.01719878897583
