"type","durationMinutes","startTime","endTime","startNum","endNum","eventDO"
"Moderately Severe",100.000000002279,"2023-08-10 00:40:00","2023-08-10 02:20:00",53.64117,53.64136,2.29092890909091
"Moderately Severe",100.000000002279,"2023-08-27 01:40:00","2023-08-27 03:20:00",53.68786,53.68805,1.69869872727273
"Moderately Severe",110.000000002134,"2023-08-28 02:40:00","2023-08-28 04:30:00",53.69072,53.69092,1.49952441666667
"Moderately Severe",110.000000002134,"2023-08-29 03:40:00","2023-08-29 05:30:00",53.69357,53.69378,1.63348983333333
"Moderately Severe",130.000000001843,"2023-08-30 04:10:00","2023-08-30 06:20:00",53.69637,53.69661,1.64129964285714
"Moderately Severe",149.999999994083,"2023-08-31 03:10:00","2023-08-31 05:40:00",53.69899,53.69928,1.883065625
"Moderately Severe",140.000000001697,"2023-09-01 05:40:00","2023-09-01 08:00:00",53.70202,53.70228,1.97098446666667
"Moderately Severe",240.000000003977,"2023-09-03 05:40:00","2023-09-03 09:40:00",53.7075,53.70795,1.9319766
"Moderately Severe",120.000000001988,"2023-09-03 20:00:00","2023-09-03 22:00:00",53.70913,53.70936,1.75212676923077
"Moderately Severe",169.999999997526,"2023-09-04 06:40:00","2023-09-04 09:30:00",53.71035,53.71067,1.97468094444444
"Moderately Severe",119.999999998254,"2023-09-04 21:00:00","2023-09-04 23:00:00",53.71199,53.71221,1.38523069230769
"Moderate",159.999999997672,"2023-08-10 00:20:00","2023-08-10 03:00:00",53.64113,53.64144,2.39956111764706
"Moderate",100.000000002279,"2023-08-11 01:30:00","2023-08-11 03:10:00",53.64401,53.6442,2.56999890909091
"Moderate",99.9999999985448,"2023-08-12 02:30:00","2023-08-12 04:10:00",53.64686,53.64705,2.68604254545455
"Moderate",140.000000001697,"2023-08-14 03:40:00","2023-08-14 06:00:00",53.65247,53.65274,2.233708
"Moderate",99.9999999985448,"2023-08-16 05:30:00","2023-08-16 07:10:00",53.65816,53.65835,2.62325981818182
"Moderate",120.000000005723,"2023-08-17 05:50:00","2023-08-17 07:50:00",53.66094,53.66117,2.50116061538462
"Moderate",149.999999994083,"2023-08-19 06:20:00","2023-08-19 08:50:00",53.66648,53.66676,2.9352134375
"Moderate",149.999999997817,"2023-08-20 07:00:00","2023-08-20 09:30:00",53.66929,53.66958,2.9855269375
"Moderate",129.999999998108,"2023-08-21 07:40:00","2023-08-21 09:50:00",53.67211,53.67236,2.89824407142857
"Moderate",120.000000001988,"2023-08-21 20:40:00","2023-08-21 22:40:00",53.67359,53.67382,2.78075769230769
"Moderate",69.9999999952468,"2023-08-22 04:00:00","2023-08-22 05:10:00",53.67443,53.67456,2.730336625
"Moderate",69.9999999989814,"2023-08-22 07:30:00","2023-08-22 08:40:00",53.67483,53.67496,2.869149875
"Moderate",70.000000002716,"2023-08-22 22:10:00","2023-08-22 23:20:00",53.6765,53.67664,2.255107375
"Moderate",89.9999999986903,"2023-08-23 22:40:00","2023-08-24 00:10:00",53.6793,53.67947,2.377936
"Moderate",200.000000000824,"2023-08-24 08:40:00","2023-08-24 12:00:00",53.68044,53.68082,2.55430776190476
"Moderate",199.99999999709,"2023-08-24 22:00:00","2023-08-25 01:20:00",53.68196,53.68234,2.73776214285714
"Moderate",380.000000001939,"2023-08-25 06:30:00","2023-08-25 12:50:00",53.68293,53.68366,2.80294758974359
"Moderate",109.999999998399,"2023-08-26 00:10:00","2023-08-26 02:00:00",53.68495,53.68516,2.24151375
"Moderate",119.999999998254,"2023-08-26 09:20:00","2023-08-26 11:20:00",53.686,53.68623,2.70704184615385
"Moderate",159.999999997672,"2023-08-27 00:50:00","2023-08-27 03:30:00",53.68777,53.68807,2.02020229411765
"Moderate",150.000000001552,"2023-08-28 02:00:00","2023-08-28 04:30:00",53.69064,53.69092,1.6969306875
"Moderate",249.999999996362,"2023-08-29 01:50:00","2023-08-29 06:00:00",53.69336,53.69384,2.17014303846154
