"type","threshold","numberFound","avgDurMinutes","avgAvgDO"
"Severe",0.99,0,NA,NA
"Moderately Severe",1.99,1,140.000000001697,1.85084386666667
"Moderate",2.99,13,135.384615384082,2.56511743129778
"Marginal",3.49,19,178.88888888836,2.93083144976976
"Sub-Optimal",4.79,39,299.210526315956,3.93492279445309
