"type","threshold","numberFound","avgDurMinutes","avgAvgDO"
"Severe",0.99,0,NA,NA
"Moderately Severe",1.99,1,79.9999999988358,2.06178544444444
"Moderate",2.99,6,193.33333333301,2.62561666473358
"Marginal",3.49,9,247.777777778737,3.02771871628487
"Sub-Optimal",4.79,17,416.874999999769,4.15608090652161
