"type","threshold","numberFound","avgDurMinutes","avgAvgDO"
"Severe",0.99,0,NA,NA
"Moderately Severe",1.99,0,NA,NA
"Moderate",2.99,0,NA,NA
"Marginal",3.49,5,65.9999999997865,3.15072211428571
"Sub-Optimal",4.79,21,202.857142856681,4.20405750353738
