"type","threshold","numberFound","avgDurMinutes","avgAvgDO"
"Severe",0.99,0,NA,NA
"Moderately Severe",1.99,7,257.142857143383,1.83198345976925
"Moderate",2.99,18,367.647058825429,2.67126649262979
"Marginal",3.49,21,484.000000000426,2.93715318442275
"Sub-Optimal",4.79,35,510.000000000158,3.92042823841346
