"type","threshold","numberFound","avgDurMinutes","avgAvgDO"
"Severe",0.99,0,NA,NA
"Moderately Severe",1.99,11,135.45454545529,1.7874551478973
"Moderate",2.99,36,200.571428570857,2.46421076602977
"Marginal",3.49,43,290.952380953127,2.83235199190261
"Sub-Optimal",4.79,48,480.000000000008,3.50646536288758
