"type","threshold","numberFound","avgDurMinutes","avgAvgDO"
"Severe",0.99,0,NA,NA
"Moderately Severe",1.99,5,93.999999999379,1.7722846585015
"Moderate",2.99,40,143.249999999596,2.6084563051252
"Marginal",3.49,66,180.757575757492,2.96579853473668
"Sub-Optimal",4.79,87,275.930232558206,3.5700115979213
