"Location Properties"
"Location Name = AshCreek"
"Location ID = 82862c1c-6906-4407-9675-91cd165864a7"
""
"Report Properties"
"Start Time = 2024-08-26 11:42:38"
"Duration = 55.20:00:06"
"Readings = 2681"
"Time Offset = -04:00:00"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 1005261"
"Device Firmware = 2.32"
""
"Log Properties"
"Log Name = ASHC_2024_SONDE5261"
"Log Type = Linear"
"Log File Number = 9"
"Log ID = 72cf1513-30bc-40ff-90c0-df10bf61485c"
"Log Wrapping Enabled = True"
"Interval = 00:30:00"
""
""
"Date Time","pH (pH) (982925)","pH mV (mV) (982925)","ORP (mV) (982925)","Actual Conductivity (µS/cm) (1026742)","Specific Conductivity (µS/cm) (1026742)","Salinity (PSU) (1026742)","Resistivity (Ω⋅cm) (1026742)","Density (g/cm³) (1026742)","Total Dissolved Solids (ppt) (1026742)","RDO Concentration (mg/L) (1003422)","RDO Saturation (%Sat) (1003422)","Oxygen Partial Pressure (Torr) (1003422)","Chlorophyll-a Fluorescence (RFU) (1005348)","Temperature (°C) (1005261)","External Voltage (V) (1005261)","Battery Capacity (%) (1005261)","Barometric Pressure (mm Hg) (1005261)"
"2024-08-26 22:42:38","7.837566","-56.705475","390.46448","38598.637","38345.875","24.746199","25.90765","1.0155146","24.92482","7.034383","97.56438","136.79306","0.023483515","25.345112","0.054","92","767.6374"
"2024-08-26 23:12:38","7.812994","-55.246353","390.2976","37919.492","37685.74","24.273842","26.37166","1.0151658","24.49573","6.6024265","91.29572","128.00897","0.019664345","25.32475","0.054","92","767.6374"
"2024-08-26 23:42:38","7.6957054","-48.28453","398.6518","35841.41","35685.24","22.849415","27.900688","1.0141238","23.195406","6.0058427","82.240204","115.33318","0.01660737","25.229132","0.054","92","767.6374"
"2024-08-27 00:12:38","7.604106","-42.834282","403.5489","33715.15","33688.86","21.438166","29.660257","1.0131184","21.897758","5.248275","71.05795","99.68724","0.02007985","25.040855","0.054","92","767.6374"
"2024-08-27 00:42:38","7.5711236","-40.855408","400.7928","30222.463","30314.498","19.081087","33.08797","1.011406","19.704424","5.4533334","72.59444","101.8814","0.018044908","24.841045","0.045","92","767.6374"
"2024-08-27 01:12:38","7.581476","-41.46099","400.31116","36581.22","36725.754","23.581596","27.336432","1.0147994","23.87174","4.7572055","64.91896","91.117455","0.022775564","24.793951","0.036","92","767.6374"
"2024-08-27 01:42:38","7.7589526","-51.808357","391.85205","39939.875","40746.777","26.446472","25.037634","1.0171932","26.485405","6.7952785","92.89924","130.58887","0.022952577","23.963203","0.036","92","767.6374"
"2024-08-27 02:12:38","7.793068","-53.82061","398.90448","40077.14","40882.484","26.544506","24.95188","1.0172656","26.573614","6.96316","95.25714","133.90207","0.023798482","23.96864","0.036","92","767.6374"
"2024-08-27 02:42:38","7.8236675","-55.623055","395.14703","40110.387","40922.996","26.573568","24.931198","1.0172898","26.599949","7.218056","98.74631","138.80879","0.02413467","23.960363","0.036","92","767.6374"
"2024-08-27 03:12:38","7.872676","-58.50792","392.45764","40019.58","40847.984","26.518963","24.98777","1.017255","26.551191","7.499744","102.52767","144.13007","0.025807403","23.938208","0.036","92","767.6374"
