"Location Properties"
"Location Name = Gold Star Beach, NY"
"Location ID = ec19e1b1-9de7-4230-9910-8f32e59cfdab"
""
"Report Properties"
"Start Time = 2024-09-16 10:50:10"
"Duration = 28.23:30:03"
"Readings = 1392"
"Time Offset = -04:00:00"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 1005052"
"Device Firmware = 2.32"
""
"Log Properties"
"Log Name = Log_0624GOLD"
"Log Type = Linear"
"Log File Number = 9"
"Log ID = b5c2cf2d-2d6c-4d2d-a0ff-11326b002e59"
"Log Wrapping Enabled = True"
"Interval = 00:30:00"
""
""
"Date Time","Chlorophyll-a Fluorescence (RFU) (994333)","pH (pH) (1111279)","pH mV (mV) (1111279)","ORP (mV) (1111279)","Actual Conductivity (µS/cm) (1024259)","Specific Conductivity (µS/cm) (1024259)","Salinity (PSU) (1024259)","Resistivity (Ω⋅cm) (1024259)","Density (g/cm³) (1024259)","Total Dissolved Solids (ppt) (1024259)","RDO Concentration (mg/L) (1003691)","RDO Saturation (%Sat) (1003691)","Oxygen Partial Pressure (Torr) (1003691)","Temperature (°C) (1005052)","External Voltage (V) (1005052)","Battery Capacity (%) (1005052)","Barometric Pressure (mm Hg) (1005052)"
"2024-09-16 21:20:11","1.0692376","7.759384","-68.82191","124.345856","37017.293","38701.016","24.950222","27.0144","1.0164093","25.15566","7.88893","103.88993","146.00859","22.722204","0.018","99","772.6816"
"2024-09-16 21:50:11","1.8819282","7.751697","-68.36891","121.04614","37019.887","38709.42","24.95606","27.012508","1.0164156","25.161125","7.8115363","102.86051","144.56361","22.714836","0.018","99","772.6816"
"2024-09-16 22:20:11","1.13742","7.7406044","-67.70611","115.52914","37007.68","38735.8","24.973753","27.021418","1.0164428","25.17827","7.6152797","100.195465","140.82997","22.664238","0.018","99","772.6816"
"2024-09-16 22:50:11","1.2296747","7.736786","-67.481995","109.034615","36915.227","38638.99","24.904572","27.089092","1.0163906","25.115343","7.5361814","99.115265","139.31168","22.664295","0.018","99","772.6816"
"2024-09-16 23:20:11","1.3569717","7.723218","-66.68568","108.99647","36992.906","38720.035","24.962496","27.03221","1.0164342","25.168022","7.3016953","96.063934","135.02277","22.66463","0.027","99","772.6816"
"2024-09-16 23:50:11","1.5619802","7.667682","-63.405037","103.75126","36526.59","38306.53","24.664982","27.377316","1.016236","24.899246","7.1734843","94.04972","132.21309","22.567238","0.018","99","772.6816"
"2024-09-17 00:20:11","2.119664","7.5924554","-59.0086","103.1123","37005.977","38740.586","24.976973","27.022661","1.0164475","25.181381","6.5075493","85.60942","120.33019","22.65576","0.018","99","772.6816"
"2024-09-17 00:50:11","2.488005","7.6681976","-63.45749","94.97269","36996.72","38719.258","24.962078","27.029425","1.0164322","25.167519","6.953769","91.49649","128.6017","22.670788","0.018","99","772.6816"
"2024-09-17 01:20:11","3.015016","7.6430087","-61.984062","94.58168","36965.184","38667.41","24.925587","27.052483","1.016398","25.133818","6.5509653","86.21586","121.17465","22.69517","0.027","99","772.6816"
"2024-09-17 01:50:11","4.310448","7.6089716","-59.947968","88.711815","36169.734","37977.633","24.429117","27.647425","1.0160738","24.685463","6.9052563","90.312256","126.97155","22.50763","0.018","99","772.6816"
"2024-09-17 02:20:11","1.7520249","7.6326227","-61.354637","83.790855","36718.8","38482.836","24.791567","27.234005","1.0163226","25.013844","6.6672554","87.52844","123.038925","22.600025","0.018","99","772.6816"
"2024-09-17 02:50:11","2.4537787","7.6612644","-63.023567","86.1512","36569.062","38368.773","24.708864","27.34552","1.0162752","24.939703","6.7690225","88.73267","124.74326","22.544209","0.018","99","772.6816"
"2024-09-17 03:20:11","1.7166637","7.700105","-65.30285","88.4734","36269.684","38053.234","24.483873","27.571236","1.0161047","24.734602","7.1240807","93.268394","131.1193","22.546078","0.018","99","772.6816"
"2024-09-17 03:50:11","1.4497013","7.6951013","-65.01198","87.34329","36202.61","37973.46","24.427303","27.622318","1.0160587","24.682749","7.0623775","92.45078","129.96724","22.558434","0.018","99","772.6816"
"2024-09-17 04:20:11","1.0160779","7.7086663","-65.8083","92.14504","36021.266","37781.953","24.29093","27.76138","1.0159553","24.558271","7.209323","94.30283","132.57048","22.560143","0.018","99","772.6816"
"2024-09-17 04:50:11","1.1217742","7.6963396","-65.07397","84.14848","36007.547","37805.62","24.306654","27.771955","1.0159807","24.573654","7.080589","92.54337","130.10783","22.509892","0.018","99","772.6816"
"2024-09-17 05:20:11","1.560289","7.7310476","-67.09099","83.032684","35914.848","37772.215","24.280945","27.843637","1.015984","24.55194","7.3747377","96.226776","135.3052","22.425503","0.018","99","772.6816"
"2024-09-17 05:50:11","1.9771879","7.7064414","-65.62233","79.485016","35794.82","37732.99","24.25038","27.937002","1.0159916","24.526443","7.179145","93.46377","131.44484","22.310715","0.027","99","772.6816"
"2024-09-17 06:20:11","2.0071054","7.6746516","-63.762665","75.26501","35820.695","37746.055","24.26011","27.916822","1.015994","24.534937","6.574142","85.62112","120.41145","22.329412","0.018","99","772.6816"
"2024-09-17 06:50:11","1.267233","7.6318545","-61.216354","78.698235","35182.207","37207.29","23.872969","28.423458","1.015749","24.184738","7.1104355","92.09852","129.55852","22.150417","0.018","99","772.6816"
"2024-09-17 07:20:11","1.4727058","7.69508","-65.021515","78.698235","36471.45","38217.902","24.602678","27.418707","1.0161779","24.841637","7.407938","97.15884","136.5747","22.607477","0.009","99","772.6816"
"2024-09-17 07:50:11","0.86340874","7.66762","-63.40027","79.79496","36692.605","38484.72","24.792028","27.253448","1.0163332","25.015068","7.05076","92.50002","130.03569","22.561947","0.027","99","772.6816"
"2024-09-17 08:20:11","0.86120677","7.6623344","-63.090324","74.28272","36677.137","38467.742","24.779932","27.264942","1.0163238","25.004032","6.9428153","91.07904","128.03787","22.562922","0","99","772.6816"
"2024-09-17 08:50:11","0.9610305","7.672921","-63.700676","77.52998","36828.645","38665.64","24.920082","27.152779","1.0164434","25.132668","7.0335565","92.26066","129.70981","22.512575","0.018","99","772.6816"
"2024-09-17 09:20:11","0.5186025","7.656022","-62.704086","76.49048","36981.832","38845.504","25.04803","27.040304","1.0165465","25.249577","6.8961177","90.48503","127.21857","22.48814","0.009","99","772.6816"
"2024-09-17 09:50:11","0.45567745","7.667987","-63.409805","80.61512","36939.38","38786.88","25.00656","27.07138","1.0165104","25.211472","7.003646","91.90375","129.20937","22.506172","0.018","99","772.6816"
"2024-09-17 10:20:11","0.2945872","7.6579943","-62.823296","75.8992","37041.434","38895.184","25.083937","26.996796","1.0165691","25.28187","6.914599","90.773506","127.62066","22.504707","0.018","99","772.6816"
"2024-09-17 10:50:11","0.95533687","7.6610126","-63.004494","72.6281","37021.938","38859.594","25.058954","27.011011","1.016545","25.258736","6.8967366","90.55765","127.31312","22.524103","0.018","99","772.6816"
"2024-09-17 11:20:11","0.4905274","7.6304975","-61.20205","73.03341","36810.7","38683.395","24.931648","27.166016","1.0164647","25.144207","6.885505","90.24773","126.88967","22.4654","0.009","99","772.6816"
"2024-09-17 11:50:11","0.49921334","7.646522","-62.150955","70.95917","36127.547","37933.12","24.397413","27.679708","1.0160497","24.656528","6.95063","90.88933","127.782814","22.50791","0.018","99","772.6816"
"2024-09-17 12:20:11","0.67198557","7.648979","-62.298775","67.33997","36759.168","38582.832","24.861233","27.204098","1.0163953","25.07884","7.1751733","94.107895","132.30405","22.525328","0.018","99","772.6816"
"2024-09-17 12:50:11","0.7564469","7.6720114","-63.66253","65.609055","36998.68","38789.14","25.009989","27.027992","1.016492","25.212942","7.044904","92.57552","130.13724","22.583307","0.018","99","772.6816"
"2024-09-17 13:20:11","0.74179167","7.641335","-61.860085","69.14719","37002.797","38802.117","25.019","27.024984","1.0165019","25.221376","6.411627","84.24133","118.4237","22.57216","0.018","99","772.6816"
"2024-09-17 13:50:11","1.5140725","7.607237","-59.843063","66.73916","36637.57","38480.77","24.787588","27.294386","1.0163487","25.0125","6.897582","90.37426","127.06198","22.492188","0.018","99","772.6816"
"2024-09-17 14:20:11","1.907219","7.6280518","-61.068535","67.82158","36596.652","38421.285","24.745623","27.324903","1.0163112","24.973835","7.2034845","94.39592","132.71155","22.513605","0.018","99","772.6816"
"2024-09-17 14:50:11","3.8672886","7.8217683","-72.54124","74.29226","37210.73","38723.734","24.971706","26.873968","1.0163622","25.170427","8.703336","115.10724","161.71045","22.95436","0.018","99","772.6816"
"2024-09-17 15:20:11","1.2697765","7.8214865","-72.62707","72.94281","37108.68","38299.32","24.677395","26.947874","1.0160252","24.894558","8.552222","113.76259","159.70718","23.372368","0.027","99","772.6816"
"2024-09-17 15:50:11","1.0405424","7.8474827","-74.23401","77.758865","36865.22","37817.336","24.339594","27.12584","1.0156846","24.581268","9.0732155","121.12299","169.94836","23.681845","0.036","99","772.6816"
"2024-09-17 16:20:11","0.8725851","7.8410254","-73.866844","76.22822","37346.676","38271.516","24.66482","26.776144","1.0159148","24.876486","8.659744","115.92831","162.64449","23.734804","0.036","99","772.6816"
"2024-09-17 16:50:11","1.6970774","7.8969655","-77.16656","77.553825","37169.516","38077.535","24.526602","26.903767","1.0158061","24.750397","9.327864","124.81035","175.10059","23.75149","0.036","99","772.6816"
"2024-09-17 17:20:11","1.3132968","7.8085423","-71.92135","72.0702","37236.457","38257.26","24.65203","26.855402","1.015942","24.86722","8.425339","112.518845","157.89767","23.603003","0.036","99","772.6816"
"2024-09-17 17:50:11","1.8044078","7.8251343","-72.8941","73.21461","37021.105","38048.855","24.502884","27.01162","1.0158345","24.731756","8.696169","116.000656","162.78864","23.585793","0.036","99","772.6816"
"2024-09-17 18:20:11","1.6338019","7.858884","-74.915886","75.508194","37262.695","38194.27","24.60941","26.83649","1.0158764","24.826275","8.913609","119.26386","167.32768","23.723015","0.036","99","772.6816"
"2024-09-17 18:50:11","2.7026477","7.866569","-75.330734","70.56339","37240.934","38283.754","24.67037","26.852173","1.0159639","24.884441","8.613155","114.97975","161.35931","23.57386","0.027","99","772.6816"
"2024-09-17 19:20:11","3.3052912","7.940352","-79.64134","75.02182","36833.254","37957.7","24.43511","27.14938","1.0158212","24.672504","9.913544","131.86708","185.09877","23.449026","0.027","99","772.6816"
"2024-09-17 19:50:11","2.170789","7.8161387","-72.25037","66.18603","37251.812","38640.85","24.916048","26.844332","1.0162753","25.116554","8.326575","110.41166","155.07071","23.117935","0.027","99","772.6816"
"2024-09-17 20:20:11","2.2404106","7.785816","-70.47176","64.09271","37341.184","38720.742","24.973532","26.780083","1.0163141","25.168484","8.45969","112.24747","157.64456","23.13464","0.027","99","772.6816"
"2024-09-17 20:50:11","1.7495557","7.7703276","-69.52286","65.52799","37337.395","38842.434","25.056969","26.7828","1.0164219","25.247581","7.8327975","103.676544","145.64769","22.971348","0.027","99","772.6816"
"2024-09-17 21:20:11","1.9171426","7.7317667","-67.2245","67.71191","37384.383","39002.656","25.168352","26.749138","1.0165452","25.351728","7.568553","99.985725","140.49675","22.827675","0.027","99","772.6816"
"2024-09-17 21:50:11","1.4245532","7.733828","-67.34371","66.61041","37357.86","38981.29","25.152878","26.76813","1.0165358","25.33784","7.558413","99.828354","140.27754","22.819561","0.027","99","772.6816"
"2024-09-17 22:20:11","1.368098","7.732182","-67.243576","67.49733","37350.934","38985.91","25.155836","26.773092","1.0165421","25.340841","7.5382605","99.536606","139.87114","22.804314","0.018","99","772.6816"
"2024-09-17 22:50:11","1.3776525","7.7051225","-65.6414","66.09066","37369.68","39051.55","25.201437","26.759663","1.0165926","25.383509","7.1815033","94.7505","133.1588","22.745132","0.018","99","772.6816"
"2024-09-17 23:20:11","1.4231484","7.7033334","-65.5365","62.72419","37382.336","39064.29","25.21057","26.750603","1.0165994","25.391788","7.1429667","94.247925","132.45236","22.74576","0.018","99","772.6816"
"2024-09-17 23:50:11","1.446033","7.6713667","-63.648224","61.541634","37223.547","38939.65","25.120161","26.864716","1.0165457","25.310772","6.8474994","90.21608","126.79741","22.692625","0.018","99","772.6816"
"2024-09-18 00:20:11","1.4259518","7.637269","-61.650276","58.756905","37385.633","39095.43","25.232027","26.748243","1.0166253","25.412031","6.5893927","86.899376","122.132225","22.710268","0.018","99","772.6816"
"2024-09-18 00:50:11","2.0928602","7.620354","-60.653687","57.822304","37357.758","39080.008","25.220587","26.768202","1.0166214","25.402004","6.366263","83.92457","117.95477","22.692675","0.018","99","772.6816"
"2024-09-18 01:20:11","3.3047757","7.5549393","-56.815147","48.40954","37424.82","39144.203","25.266708","26.720236","1.0166541","25.443731","5.485279","72.340034","101.6716","22.700296","0.018","99","772.6816"
"2024-09-18 01:50:11","2.6303115","7.5995483","-59.44252","51.83323","37383.445","39067.332","25.21269","26.74981","1.0166017","25.393766","6.6936517","88.31673","124.11738","22.74334","0.018","99","772.6816"
"2024-09-18 02:20:11","3.1617224","7.5909185","-58.922768","52.438812","37158.45","38883.15","25.079403","26.91178","1.016519","25.274046","6.5429025","86.15941","121.09884","22.677696","0.018","99","772.6816"
"2024-09-18 02:50:11","2.6992593","7.6007605","-59.485435","54.47014","37090.61","38870.242","25.068428","26.961002","1.0165309","25.265657","6.4252257","84.49094","118.768524","22.602934","0.018","99","772.6816"
"2024-09-18 03:20:11","4.287598","7.5855775","-58.59375","48.90545","36952.78","38728.496","24.967024","27.061562","1.0164553","25.173523","6.2746224","82.45671","115.909706","22.599459","0.018","99","772.6816"
"2024-09-18 03:50:11","3.0282772","7.5859838","-58.603287","46.449738","36693.56","38512.426","24.811007","27.252739","1.0163568","25.033077","5.866795","76.9278","108.15062","22.527325","0.018","99","772.6816"
"2024-09-18 04:20:11","1.5341395","7.592682","-58.97522","57.83184","36028.99","37894.97","24.36827","27.755428","1.0160508","24.63173","6.6954308","87.40176","122.89697","22.421942","0.018","99","772.6816"
