"type","threshold","numberFound","avgDurMinutes","avgAvgpH"
"Severe",6.8,0,NA,NA
"Moderately Severe",7,0,NA,NA
"Moderate",7.2,0,NA,NA
"Marginal",7.5,0,NA,NA
"Sub-Optimal",7.8,13,308.461538461933,7.76953861604842
