"type","threshold","numberFound","avgDurMinutes","avgAvgpH"
"Severe",6.8,0,NA,NA
"Moderately Severe",7,0,NA,NA
"Moderate",7.2,0,NA,NA
"Marginal",7.5,0,NA,NA
"Sub-Optimal",7.8,34,490.312500000334,7.76660597012251
