"type","threshold","numberFound","avgDurMinutes","avgAvgpH"
"Severe",6.8,0,NA,NA
"Moderately Severe",7,0,NA,NA
"Moderate",7.2,0,NA,NA
"Marginal",7.5,2,259.999999998084,7.44146969172932
"Sub-Optimal",7.8,33,509.062500000061,7.72198261883012
