"type","durationMinutes","startTime","endTime","startNum","endNum","eventpH"
"Severe",60.0000000028615,"2023-07-17 17:42:22","2023-07-17 18:42:22",53.57736,53.57748,6.79378628571429
"Severe",149.999999997817,"2023-07-18 05:52:22","2023-07-18 08:22:22",53.57875,53.57904,6.784421875
"Moderately Severe",150.000000001552,"2023-07-04 18:02:21","2023-07-04 20:32:21",53.54179,53.54207,6.96937325
"Moderately Severe",89.9999999986903,"2023-07-05 08:02:21","2023-07-05 09:32:21",53.54338,53.54355,6.9887271
"Moderately Severe",79.9999999988358,"2023-07-15 05:02:22","2023-07-15 06:22:22",53.57044,53.57059,6.98686622222222
"Moderately Severe",150.000000001552,"2023-07-16 16:32:22","2023-07-16 19:02:22",53.57449,53.57478,6.960644875
"Moderately Severe",300.000000003104,"2023-07-17 03:02:22","2023-07-17 08:02:22",53.57569,53.57626,6.84173735483871
"Moderately Severe",249.999999996362,"2023-07-17 15:42:22","2023-07-17 19:52:22",53.57714,53.57761,6.84537788461538
"Moderately Severe",289.999999999515,"2023-07-18 03:52:22","2023-07-18 08:42:22",53.57852,53.57908,6.8204688
"Moderately Severe",210.000000000679,"2023-07-18 17:02:22","2023-07-18 20:32:22",53.58003,53.58043,6.91746868181818
"Moderately Severe",290.000000003249,"2023-07-19 04:32:22","2023-07-19 09:22:22",53.58134,53.58189,6.84470056666667
"Moderately Severe",209.999999996944,"2023-07-19 17:42:22","2023-07-19 21:12:22",53.58284,53.58324,6.90906468181818
"Moderately Severe",230.000000000388,"2023-07-20 05:52:22","2023-07-20 09:42:22",53.58423,53.58467,6.91693316666667
"Moderately Severe",79.9999999988358,"2023-07-20 20:12:22","2023-07-20 21:32:22",53.58587,53.58602,6.97416722222222
"Moderately Severe",180.000000001115,"2023-07-21 07:02:22","2023-07-21 10:02:22",53.5871,53.58745,6.95260152631579
"Moderately Severe",109.999999998399,"2023-07-21 20:12:22","2023-07-21 22:02:22",53.58861,53.58882,6.99960808333333
"Moderately Severe",199.99999999709,"2023-07-22 07:12:22","2023-07-22 10:32:22",53.58986,53.59024,6.93941847619048
"Moderately Severe",79.9999999988358,"2023-07-22 21:32:22","2023-07-22 22:52:22",53.5915,53.59165,6.970644
"Moderately Severe",79.9999999988358,"2023-07-23 09:22:22","2023-07-23 10:42:22",53.59285,53.593,6.99132655555556
"Moderately Severe",80.0000000025705,"2023-07-23 22:32:22","2023-07-23 23:52:22",53.59435,53.59451,6.97861444444444
"Moderately Severe",59.9999999953923,"2023-07-26 00:42:22","2023-07-26 01:42:22",53.60008,53.60019,6.99476285714286
"Moderate",99.9999999985448,"2023-06-14 12:22:20","2023-06-14 14:02:20",53.48634,53.48653,7.143147
"Moderate",170.000000001261,"2023-06-15 03:12:20","2023-06-15 06:02:20",53.48804,53.48836,7.12151211111111
