"type","threshold","numberFound","avgDurMinutes","avgAvgpH"
"Severe",6.8,2,105.000000000339,6.78910408035714
"Moderately Severe",7,19,164.210526315365,6.93697398678162
"Moderate",7.2,87,212.298850574757,7.09318748703225
"Marginal",7.5,107,289.339622641492,7.18818347244629
"Sub-Optimal",7.8,109,361.775700934411,7.28483570261475
