"type","threshold","numberFound","avgDurMinutes","avgAvgpH"
"Severe",6.8,0,NA,NA
"Moderately Severe",7,2,185.000000001043,6.95642738043478
"Moderate",7.2,2,230.000000002255,6.97760992657343
"Marginal",7.5,16,144.375000001634,7.34987777590014
"Sub-Optimal",7.8,22,321.818181817743,7.55173704625678
