"type","threshold","numberFound","avgDurMinutes","avgAvgpH"
"Severe",6.8,0,NA,NA
"Moderately Severe",7,0,NA,NA
"Moderate",7.2,5,77.999999998865,7.17627463253968
"Marginal",7.5,46,187.777777777867,7.39173453613032
"Sub-Optimal",7.8,45,671.395348837427,7.58369842541648
