"type","threshold","numberFound","avgDurMinutes","avgAvgpH"
"Severe",6.8,0,NA,NA
"Moderately Severe",7,0,NA,NA
"Moderate",7.2,0,NA,NA
"Marginal",7.5,3,104.999999998472,7.47250620075758
"Sub-Optimal",7.8,45,345.349224806519,7.72343375770082
