"type","threshold","numberFound","avgDurMinutes","avgAvgpH"
"Severe",6.8,4,162.500000000436,6.76957240383866
"Moderately Severe",7,18,168.888888888299,6.9170153363936
"Moderate",7.2,55,222.830188678962,7.05692610633477
"Marginal",7.5,55,298.867924528392,7.11651380611855
"Sub-Optimal",7.8,54,401.730769230238,7.23773102622716
