"Location Properties"
"Location Name = GSB, NY"
"Location ID = 527b0ac0-7ed1-4ee1-8380-f7841f066137"
""
"Report Properties"
"Start Time = 2023-07-17 12:17:06"
"Duration = 28.00:10:00"
"Readings = 4034"
"Time Offset = -04:00:00"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 1005052"
"Device Firmware = 2.32"
""
"Log Properties"
"Log Name = Log_2023-06-20_1005052_GSB"
"Log Type = Linear"
"Log File Number = 5"
"Log ID = ea37bc9e-b5db-421c-a91b-002824b79d50"
"Log Wrapping Enabled = True"
"Interval = 00:10:00"
""
""
"Date Time","Actual Conductivity (µS/cm) (1024259)","Specific Conductivity (µS/cm) (1024259)","Salinity (PSU) (1024259)","Resistivity (Ω⋅cm) (1024259)","Density (g/cm³) (1024259)","Total Dissolved Solids (ppt) (1024259)","RDO Concentration (mg/L) (1003691)","RDO Saturation (%Sat) (1003691)","Oxygen Partial Pressure (Torr) (1003691)","Chlorophyll-a Fluorescence (RFU) (994333)","pH (pH) (982936)","pH mV (mV) (982936)","ORP (mV) (982936)","Temperature (°C) (1005052)","External Voltage (V) (1005052)","Battery Capacity (%) (1005052)","Barometric Pressure (mm Hg) (1005052)"
"2023-07-17 15:57:06","40582.86","40681.2","26.41722","24.64095","1.016909","26.44278","7.540663","105.8897","145.636","0.8961467","7.936843","-54.78144","272.4107","24.87343","0.054","71","759.4498"
"2023-07-17 16:07:06","40568.02","40643.66","26.39065","24.64996","1.016881","26.41838","7.598997","106.7469","146.8067","0.7040297","7.936269","-54.75283","270.9373","24.90257","0.054","71","759.4498"
"2023-07-17 16:17:06","40741.61","40481.66","26.28144","24.54493","1.016671","26.31308","7.853558","111.0861","152.6461","0.8291841","7.95163","-55.74226","263.737","25.33621","0.054","71","759.4498"
"2023-07-17 16:27:06","40750.46","40361.36","26.19748","24.5396","1.016558","26.23489","7.851024","111.3206","152.9175","1.01416","7.949409","-55.64213","244.8471","25.50472","0.045","71","759.4498"
"2023-07-17 16:37:06","40840.02","40413.51","26.2359","24.48579","1.016573","26.26878","7.675317","108.943","149.6374","1.218121","7.93707","-54.91972","257.7766","25.55254","0.063","71","759.4498"
"2023-07-17 16:47:06","40952.8","40248.75","26.12282","24.41835","1.01638","26.16168","7.78508","111.122","152.5194","1.42533","7.941369","-55.24158","264.3569","25.91585","0.063","71","759.4498"
"2023-07-17 16:57:06","41006.43","40255.78","26.12883","24.38642","1.016366","26.16626","7.803712","111.5072","153.0293","1.638358","7.936561","-54.9674","267.8378","25.9763","0.072","71","759.4498"
"2023-07-17 17:07:06","40984.73","40253.42","26.12674","24.39933","1.016372","26.16472","7.587555","108.3707","148.7325","1.74753","7.929207","-54.52633","262.3709","25.95119","0.072","71","759.4498"
"2023-07-17 17:17:06","40997.96","40268.03","26.13725","24.39145","1.016381","26.17422","7.560607","107.9884","148.2084","1.794524","7.914148","-53.63226","267.7782","25.94906","0.072","71","759.4498"
"2023-07-17 17:27:06","40861.38","40135.38","26.04151","24.47299","1.016309","26.088","7.394753","105.5585","144.8741","1.718626","7.904915","-53.0839","261.8893","25.94706","0.072","71","759.4498"
"2023-07-17 17:37:06","40991.87","40149.21","26.05379","24.39508","1.016273","26.09699","7.568789","108.3317","148.6343","1.841491","7.926866","-54.41427","266.2619","26.09885","0.072","70","759.4498"
"2023-07-17 17:47:06","41068.48","40096.36","26.01818","24.34958","1.016195","26.06264","7.92482","113.7359","155.9946","2.666223","7.971811","-57.11555","262.5092","26.26934","0.072","70","759.4498"
"2023-07-17 17:57:06","41186.52","40202.63","26.09504","24.27979","1.016249","26.13171","8.295782","119.1358","163.3968","1.856508","7.975906","-57.36113","268.05","26.28132","0.072","70","759.4498"
"2023-07-17 18:07:06","40922.33","40382.27","26.21577","24.43654","1.016514","26.24848","7.398095","105.2633","144.5408","1.671581","7.929174","-54.47865","270.8872","25.70019","0.072","70","759.4498"
"2023-07-17 18:17:06","40721.61","40473.39","26.27521","24.55699","1.016671","26.30771","6.895234","97.50185","133.9836","1.537639","7.875551","-51.23377","274.802","25.32109","0.063","70","759.4498"
"2023-07-17 18:27:06","40741.28","40404.16","26.22721","24.54513","1.016601","26.2627","7.082989","100.3299","137.8385","1.71666","7.883747","-51.73922","275.0786","25.43685","0.063","70","759.4498"
"2023-07-17 18:37:06","40728.53","40306.47","26.15859","24.55281","1.016516","26.1992","7.158925","101.5611","139.4993","1.740393","7.886157","-51.90134","274.74","25.54823","0.063","70","759.4498"
"2023-07-17 18:47:06","40763.11","40128.02","26.03436","24.53198","1.016339","26.08321","7.707014","109.7883","150.7153","1.782252","7.912825","-53.53212","267.6375","25.82863","0.072","70","759.4498"
"2023-07-17 18:57:06","40762.27","40422.99","26.24086","24.53249","1.01661","26.27494","7.145314","101.2252","139.0677","1.719893","7.877864","-51.39112","272.8637","25.43944","0.063","70","759.4498"
"2023-07-17 19:07:06","40855.77","40400.73","26.22729","24.47635","1.016555","26.26047","7.305545","103.7555","142.5017","1.957367","7.919338","-53.87545","267.7854","25.5897","0.063","70","759.4498"
"2023-07-17 19:17:06","40745","40262.57","26.12821","24.54289","1.01647","26.17067","7.332846","104.1525","143.0362","1.933294","7.90555","-53.06482","274.2036","25.62734","0.063","70","759.4498"
"2023-07-17 19:27:06","40853.81","40139.86","26.0445","24.47752","1.016316","26.09091","7.418598","105.8719","145.3089","2.062092","7.928786","-54.49772","271.705","25.93124","0.072","70","759.4498"
"2023-07-17 19:37:06","40729.65","40497.23","26.29207","24.55214","1.01669","26.3232","6.905239","97.61799","134.1486","1.727604","7.87231","-51.03827","273.1355","25.30047","0.072","70","759.4498"
"2023-07-17 19:47:06","40649.81","40487.51","26.28347","24.60036","1.01671","26.31688","6.536921","92.26182","126.8104","1.597509","7.854207","-49.95108","270.8014","25.20988","0.063","70","759.4498"
"2023-07-17 19:57:06","40622.2","40325.39","26.16951","24.61708","1.016572","26.21151","6.694751","94.71539","130.1382","1.729328","7.870294","-50.93336","268.4505","25.38536","0.054","70","759.4498"
