lab_id,date_collected,site,lab_sample,date_rftmread1,rftm_reader1,rftm_intensity_read1,duplicate_read,date_rftmread2,rftm_reader2,rftm_intensity_read2,rftm_notes,rftm_final,,,,,,,,,,,
0424FENC_01,2024-04-02,FENC,1,2024-04-08,Kyra Lenderman,0.5,TRUE,2024-04-08,Isaiah Mayo,0.5,,0.5,,,,,,,,,,,
0424FENC_02,2024-04-02,FENC,2,2024-04-08,Kyra Lenderman,0,TRUE,2024-04-08,Isaiah Mayo,0,,0,,,,,,,,,,,
0424FENC_03,2024-04-02,FENC,3,2024-04-08,Kelly Roper,0,TRUE,2024-04-08,Isaiah Mayo,0,,0,,,,,,,,,,,
0424FENC_04,2024-04-02,FENC,4,2024-04-08,Kelly Roper,0.5,TRUE,2024-04-08,Isaiah Mayo,0.5,,0.5,,,,,,,,,,,
0424FENC_05,2024-04-02,FENC,5,2024-04-08,Kelly Roper,0,TRUE,2024-04-08,Kyra Lenderman,0.5,,0.5,,,,,,,,,,,
0424FENC_06,2024-04-02,FENC,6,2024-04-08,Kelly Roper,0,TRUE,2024-04-08,Kyra Lenderman,0,,0,,,,,,,,,,,
0424FENC_07,2024-04-02,FENC,7,2024-04-08,Kelly Roper,0,FALSE,2024-04-08,,,,0,,,,,,,,,,,
0424FENC_08,2024-04-02,FENC,8,2024-04-08,Isaiah Mayo,0,FALSE,2024-04-08,,,,0,,,,,,,,,,,
0424FENC_09,2024-04-02,FENC,9,2024-04-08,Isaiah Mayo,0.5,FALSE,2024-04-08,,,,0.5,,,,,,,,,,,
0424FENC_10,2024-04-02,FENC,10,2024-04-08,Isaiah Mayo,0.5,FALSE,2024-04-08,,,,0.5,,,,,,,,,,,
0424FENC_11,2024-04-02,FENC,11,2024-04-08,Kyra Lenderman,0.5,FALSE,2024-04-08,,,,0.5,,,,,,,,,,,
0424FENC_12,2024-04-02,FENC,12,2024-04-08,Kyra Lenderman,0.5,FALSE,2024-04-08,,,,0.5,,,,,,,,,,,
0424FENC_13,2024-04-02,FENC,13,2024-04-08,Kelly Roper,0,FALSE,2024-04-08,,,,0,,,,,,,,,,,
0424FENC_14,2024-04-02,FENC,14,2024-04-08,Kelly Roper,0.5,FALSE,2024-04-08,,,,0.5,,,,,,,,,,,
0424FENC_15,2024-04-02,FENC,15,2024-04-08,Isaiah Mayo,0.5,FALSE,2024-04-08,,,,0.5,,,,,,,,,,,
0424FENC_16,2024-04-02,FENC,16,2024-04-08,Isaiah Mayo,0,FALSE,2024-04-08,,,,0,,,,,,,,,,,
0424FENC_17,2024-04-02,FENC,17,2024-04-08,Kyra Lenderman,0.5,FALSE,2024-04-08,,,,0.5,,,,,,,,,,,
0424FENC_18,2024-04-02,FENC,18,2024-04-08,Kyra Lenderman,0,FALSE,2024-04-08,,,,0,,,,,,,,,,,
0424FENC_19,2024-04-02,FENC,19,2024-04-08,Isaiah Mayo,0,FALSE,2024-04-08,,,,0,,,,,,,,,,,
0424FENC_20,2024-04-02,FENC,20,2024-04-08,Isaiah Mayo,0.5,FALSE,2024-04-08,,,,0.5,,,,,,,,,,,
0424FENC_21,2024-04-02,FENC,21,2024-04-08,Isaiah Mayo,0,FALSE,2024-04-08,,,,0,,,,,,,,,,,
0424FENC_22,2024-04-02,FENC,22,2024-04-08,Isaiah Mayo,0.5,FALSE,2024-04-08,,,,0.5,,,,,,,,,,,
0424FENC_23,2024-04-02,FENC,23,2024-04-08,Kyra Lenderman,0,FALSE,2024-04-08,,,,0,,,,,,,,,,,
0424FENC_24,2024-04-02,FENC,24,2024-04-08,Kyra Lenderman,0,FALSE,2024-04-08,,,,0,,,,,,,,,,,
0424FENC_25,2024-04-02,FENC,25,2024-04-08,Kelly Roper,0.5,FALSE,2024-04-08,,,,0.5,,,,,,,,,,,
0424FENC_26,2024-04-02,FENC,26,2024-04-08,Kelly Roper,0,FALSE,2024-04-08,,,,0,,,,,,,,,,,
0424FENC_27,2024-04-02,FENC,27,2024-04-08,Kelly Roper,0,FALSE,2024-04-08,,,,0,,,,,,,,,,,
0424FENC_28,2024-04-02,FENC,28,2024-04-08,Kelly Roper,0,FALSE,2024-04-08,,,,0,,,,,,,,,,,
0424FENC_29,2024-04-02,FENC,29,2024-04-08,Kelly Roper,0,TRUE,2024-04-08,Isaiah Mayo,0,,0,,,,,,,,,,,
0424FENC_30,2024-04-02,FENC,30,2024-04-08,Kelly Roper,0,TRUE,2024-04-08,Isaiah Mayo,0,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
