lab_id,date_collected,site,lab_sample,date_rftmread1,rftm_reader1,rftm_intensity_read1,duplicate_read,date_rftmread2,rftm_reader2,rftm_intensity_read2,rftm_notes,rftm_final
0924GOLD_01,2024-09-16,GOLD,1,2024-09-26,Kyra Lenderman,1,FALSE,,,,,1
0924GOLD_02,2024-09-16,GOLD,2,2024-09-26,Kyra Lenderman,1,FALSE,,,,,1
0924GOLD_03,2024-09-16,GOLD,3,2024-09-26,Kelly Roper,0.5,FALSE,,,,,0.5
0924GOLD_04,2024-09-16,GOLD,4,2024-09-26,Kelly Roper,2,TRUE,2024-09-26,Isaiah Mayo,2,,2
0924GOLD_05,2024-09-16,GOLD,5,2024-09-26,Isaiah Mayo,2,FALSE,,,,,2
0924GOLD_06,2024-09-16,GOLD,6,2024-09-26,Isaiah Mayo,0.5,FALSE,,,,,0.5
0924GOLD_07,2024-09-16,GOLD,7,2024-09-26,Isaiah Mayo,0,FALSE,,,,,0
0924GOLD_08,2024-09-16,GOLD,8,2024-09-26,Isaiah Mayo,0,FALSE,,,,,0
0924GOLD_09,2024-09-16,GOLD,9,2024-09-26,Kyra Lenderman,2,TRUE,2024-09-26,Isaiah Mayo,2,,2
0924GOLD_10,2024-09-16,GOLD,10,2024-09-26,Kyra Lenderman,0,TRUE,2024-09-26,Isaiah Mayo,0,,0
0924GOLD_11,2024-09-16,GOLD,11,2024-09-26,Kyra Lenderman,2,FALSE,,,,,2
0924GOLD_12,2024-09-16,GOLD,12,2024-09-26,Kyra Lenderman,0.5,FALSE,,,,,0.5
0924GOLD_13,2024-09-16,GOLD,13,2024-09-26,Kelly Roper,1,FALSE,,,,,1
0924GOLD_14,2024-09-16,GOLD,14,2024-09-26,Kelly Roper,0.5,FALSE,,,,,0.5
0924GOLD_15,2024-09-16,GOLD,15,2024-09-26,Kyra Lenderman,0,FALSE,,,,,0
0924GOLD_16,2024-09-16,GOLD,16,2024-09-26,Kyra Lenderman,1,FALSE,,,,,1
0924GOLD_17,2024-09-16,GOLD,17,2024-09-26,Kyra Lenderman,1,FALSE,,,,,1
0924GOLD_18,2024-09-16,GOLD,18,2024-09-26,Kyra Lenderman,0,FALSE,,,,,0
0924GOLD_19,2024-09-16,GOLD,19,2024-09-26,Kelly Roper,0.5,FALSE,,,,,0.5
0924GOLD_20,2024-09-16,GOLD,20,2024-09-26,Kelly Roper,0.5,FALSE,,,,,0.5
0924GOLD_21,2024-09-16,GOLD,21,2024-09-26,Kyra Lenderman,2,FALSE,,,,,2
0924GOLD_22,2024-09-16,GOLD,22,2024-09-26,Kyra Lenderman,2,FALSE,,,,,2
0924GOLD_23,2024-09-16,GOLD,23,2024-09-26,Isaiah Mayo,2,FALSE,,,,,2
0924GOLD_24,2024-09-16,GOLD,24,2024-09-26,Isaiah Mayo,0,FALSE,,,,,0
0924GOLD_25,2024-09-16,GOLD,25,2024-09-26,Kelly Roper,0.5,FALSE,,,,,0.5
0924GOLD_26,2024-09-16,GOLD,26,2024-09-26,Kelly Roper,0.5,FALSE,,,,,0.5
0924GOLD_27,2024-09-16,GOLD,27,2024-09-26,Isaiah Mayo,2,FALSE,,,,,2
0924GOLD_28,2024-09-16,GOLD,28,2024-09-26,Isaiah Mayo,0.5,FALSE,,,,,0.5
0924GOLD_29,2024-09-16,GOLD,29,2024-09-26,Isaiah Mayo,0,FALSE,,,,,0
0924GOLD_30,2024-09-16,GOLD,30,2024-09-26,Isaiah Mayo,1,FALSE,,,,,1
