lab_id,date_collected,site,lab_sample,date_rftmread1,rftm_reader1,rftm_intensity_read1,duplicate_read,date_rftmread2,rftm_reader2,rftm_intensity_read2,rftm_notes,rftm_final
0524ASHC_01,2024-05-01,ASHC,1,2024-05-09,Kyra Lenderman,0,TRUE,2024-05-09,Isaiah Mayo,0.5,,0.5
0524ASHC_02,2024-05-01,ASHC,2,2024-05-09,Kyra Lenderman,0,TRUE,2024-05-09,Isaiah Mayo,0,,0
0524ASHC_03,2024-05-01,ASHC,3,2024-05-09,Isaiah Mayo,2,FALSE,2024-05-09,,,,2
0524ASHC_04,2024-05-01,ASHC,4,2024-05-09,Isaiah Mayo,2,FALSE,2024-05-09,,,,2
0524ASHC_05,2024-05-01,ASHC,5,2024-05-09,Kelly Roper,0,TRUE,2024-05-09,Isaiah Mayo,0,,0
0524ASHC_06,2024-05-01,ASHC,6,2024-05-09,Kelly Roper,0,TRUE,2024-05-09,Isaiah Mayo,0,,0
0524ASHC_07,2024-05-01,ASHC,7,2024-05-09,Kelly Roper,0,FALSE,2024-05-09,,,,0
0524ASHC_08,2024-05-01,ASHC,8,2024-05-09,Kelly Roper,0,TRUE,2024-05-09,Isaiah Mayo,0,,0
0524ASHC_09,2024-05-01,ASHC,9,2024-05-09,Kelly Roper,0,FALSE,2024-05-09,,,,0
0524ASHC_10,2024-05-01,ASHC,10,2024-05-09,Kelly Roper,0.5,FALSE,2024-05-09,,,,0.5
0524ASHC_11,2024-05-01,ASHC,11,2024-05-09,Kyra Lenderman,1,FALSE,2024-05-09,,,,1
0524ASHC_12,2024-05-01,ASHC,12,2024-05-09,Kyra Lenderman,0.5,FALSE,2024-05-09,,,,0.5
0524ASHC_13,2024-05-01,ASHC,13,2024-05-09,Kelly Roper,0.5,FALSE,2024-05-09,,,,0.5
0524ASHC_14,2024-05-01,ASHC,14,2024-05-09,Kelly Roper,0.5,FALSE,2024-05-09,,,,0.5
0524ASHC_15,2024-05-01,ASHC,15,2024-05-09,Isaiah Mayo,0,FALSE,2024-05-09,,,,0
0524ASHC_16,2024-05-01,ASHC,16,2024-05-09,Isaiah Mayo,0,FALSE,2024-05-09,,,,0
0524ASHC_17,2024-05-01,ASHC,17,2024-05-09,Kyra Lenderman,0,FALSE,2024-05-09,,,,0
0524ASHC_18,2024-05-01,ASHC,18,2024-05-09,Kyra Lenderman,0,FALSE,2024-05-09,,,,0
0524ASHC_19,2024-05-01,ASHC,19,2024-05-09,Kelly Roper,0.5,FALSE,2024-05-09,,,,0.5
0524ASHC_20,2024-05-01,ASHC,20,2024-05-09,Kelly Roper,0.5,FALSE,2024-05-09,,,,0.5
0524ASHC_21,2024-05-01,ASHC,21,2024-05-09,Kelly Roper,0,FALSE,2024-05-09,,,,0
0524ASHC_22,2024-05-01,ASHC,22,2024-05-09,Kelly Roper,0,FALSE,2024-05-09,,,,0
0524ASHC_23,2024-05-01,ASHC,23,2024-05-09,Kyra Lenderman,0.5,FALSE,2024-05-09,,,,0.5
0524ASHC_24,2024-05-01,ASHC,24,2024-05-09,Kyra Lenderman,0,FALSE,2024-05-09,,,,0
0524ASHC_25,2024-05-01,ASHC,25,2024-05-09,Kelly Roper,0,FALSE,2024-05-09,,,,0
0524ASHC_26,2024-05-01,ASHC,26,2024-05-09,Kelly Roper,0.5,FALSE,2024-05-09,,,,0.5
0524ASHC_27,2024-05-01,ASHC,27,2024-05-09,Kyra Lenderman,0.5,FALSE,2024-05-09,,,,0.5
0524ASHC_28,2024-05-01,ASHC,28,2024-05-09,Kyra Lenderman,0,FALSE,2024-05-09,,,,0
0524ASHC_29,2024-05-01,ASHC,29,2024-05-09,Kyra Lenderman,0,FALSE,2024-05-09,,,,0
0524ASHC_30,2024-05-01,ASHC,30,2024-05-09,Kyra Lenderman,0,FALSE,2024-05-09,,,,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
