Sample ID,Date and Time,Nucleic Acid,Unit,A260 (Abs),A280 (Abs),260/280,Sample Type
0623LAUR_01,3/21/2024 3:49:01 PM,267.2,ng/µl,5.343,2.744,1.95,DNA
0623LAUR_01,3/21/2024 3:50:05 PM,267.2,ng/µl,5.345,2.758,1.94,DNA
0623LAUR_02,3/21/2024 3:50:49 PM,214,ng/µl,4.279,2.18,1.96,DNA
0623LAUR_02,3/21/2024 3:51:15 PM,214.4,ng/µl,4.288,2.179,1.97,DNA
0623LAUR_03,3/21/2024 3:52:06 PM,276.9,ng/µl,5.538,2.93,1.89,DNA
0623LAUR_03,3/21/2024 3:52:31 PM,278.5,ng/µl,5.569,2.955,1.88,DNA
0623LAUR_04,3/21/2024 3:52:57 PM,255.5,ng/µl,5.109,2.656,1.92,DNA
0623LAUR_04,3/21/2024 3:53:24 PM,255.7,ng/µl,5.115,2.658,1.92,DNA
0623LAUR_05,3/21/2024 3:53:52 PM,324.3,ng/µl,6.486,3.344,1.94,DNA
0623LAUR_05,3/21/2024 3:54:15 PM,324.2,ng/µl,6.483,3.345,1.94,DNA
0623LAUR_06,3/21/2024 3:54:51 PM,227.7,ng/µl,4.554,2.321,1.96,DNA
0623LAUR_06,3/21/2024 3:55:14 PM,227.1,ng/µl,4.542,2.293,1.98,DNA
0623LAUR_07,3/21/2024 3:55:47 PM,195,ng/µl,3.9,2.087,1.87,DNA
0623LAUR_07,3/21/2024 3:56:09 PM,193.9,ng/µl,3.877,2.075,1.87,DNA
0623LAUR_08,3/21/2024 3:56:42 PM,145,ng/µl,2.901,1.546,1.88,DNA
0623LAUR_08,3/21/2024 3:57:07 PM,144.8,ng/µl,2.897,1.547,1.87,DNA
0623LAUR_09,3/21/2024 3:57:42 PM,411.7,ng/µl,8.234,4.114,2,DNA
0623LAUR_09,3/21/2024 3:58:04 PM,415.3,ng/µl,8.307,4.135,2.01,DNA
0623LAUR_10,3/21/2024 3:58:39 PM,224.9,ng/µl,4.498,2.397,1.88,DNA
