Date,Bag_Number,Shell_Height,Site
6/10/2024,2,31.64,ASH
6/10/2024,2,28.64,ASH
6/10/2024,2,44.85,ASH
6/10/2024,2,40.34,ASH
6/10/2024,2,33,ASH
6/10/2024,2,24.71,ASH
6/10/2024,2,26.13,ASH
6/10/2024,2,23.45,ASH
6/10/2024,2,28.42,ASH
6/10/2024,2,40.23,ASH
6/10/2024,2,33.44,ASH
6/10/2024,2,22.98,ASH
6/10/2024,2,29.04,ASH
6/10/2024,3,42.35,ASH
6/10/2024,3,40.1,ASH
6/10/2024,3,27.36,ASH
6/10/2024,3,18.75,ASH
6/10/2024,3,40.62,ASH
6/10/2024,3,36.96,ASH
6/10/2024,3,26.66,ASH
6/10/2024,3,28.54,ASH
6/10/2024,3,34.57,ASH
6/10/2024,3,40.6,ASH
6/10/2024,3,30.55,ASH
6/10/2024,3,37.49,ASH
6/10/2024,3,38.49,ASH
6/10/2024,3,36.76,ASH
6/10/2024,3,23.93,ASH
6/10/2024,3,37.86,ASH
6/10/2024,3,36.37,ASH
6/10/2024,3,35.39,ASH
6/10/2024,3,54.03,ASH
6/10/2024,3,54.91,ASH
6/10/2024,3,35.7,ASH
6/10/2024,3,53.49,ASH
6/10/2024,3,38.51,ASH
6/10/2024,3,31.49,ASH
6/10/2024,3,43.39,ASH
6/10/2024,3,25.65,ASH
6/10/2024,3,25.94,ASH
6/10/2024,3,32.7,ASH
6/10/2024,3,36.42,ASH
6/10/2024,3,50.35,ASH
6/10/2024,3,31.02,ASH
6/10/2024,3,41.29,ASH
6/10/2024,3,33.98,ASH
6/10/2024,3,24.35,ASH
6/10/2024,3,38.85,ASH
6/10/2024,3,30.4,ASH
6/10/2024,3,39.34,ASH
6/10/2024,3,45.92,ASH
6/10/2024,3,41.41,ASH
6/10/2024,3,34.89,ASH
6/10/2024,3,47.01,ASH
6/10/2024,3,43.63,ASH
6/10/2024,3,25.44,ASH
6/10/2024,3,49.87,ASH
6/10/2024,3,37.72,ASH
6/10/2024,3,38.95,ASH
6/10/2024,3,40.79,ASH
6/10/2024,3,32.71,ASH
6/10/2024,3,38.82,ASH
6/10/2024,3,33.71,ASH
6/10/2024,3,35.82,ASH
6/10/2024,3,24.65,ASH
6/10/2024,3,24.54,ASH
6/10/2024,3,18.09,ASH
6/10/2024,3,36.86,ASH
6/10/2024,3,26.67,ASH
6/10/2024,3,33.58,ASH
6/10/2024,3,43.39,ASH
6/10/2024,3,35.96,ASH
6/10/2024,3,43.68,ASH
6/10/2024,3,43.38,ASH
6/10/2024,3,20.74,ASH
6/10/2024,3,35.02,ASH
6/10/2024,3,28.46,ASH
6/10/2024,3,33.43,ASH
6/10/2024,3,29.76,ASH
6/10/2024,3,24.82,ASH
6/10/2024,3,30.77,ASH
6/10/2024,3,32.31,ASH
6/10/2024,3,30.62,ASH
6/10/2024,3,30.58,ASH
6/10/2024,3,39.69,ASH
6/10/2024,3,51.97,ASH
6/10/2024,3,26.67,ASH
6/10/2024,3,27.31,ASH
6/10/2024,3,35.56,ASH
6/10/2024,3,25.46,ASH
6/10/2024,3,35.33,ASH
6/10/2024,3,22.47,ASH
6/10/2024,3,27.78,ASH
6/10/2024,3,18.19,ASH
6/10/2024,3,27.15,ASH
6/10/2024,3,34.09,ASH
6/10/2024,3,28.75,ASH
6/10/2024,3,31.23,ASH
