Date,Bag_Number,Shell_Height,Site
7/1/2024,1,35.45,FENC
7/1/2024,1,39.25,FENC
7/1/2024,1,42.03,FENC
7/1/2024,1,46.02,FENC
7/1/2024,1,41.44,FENC
7/1/2024,1,37.84,FENC
7/1/2024,1,20.45,FENC
7/1/2024,1,49.82,FENC
7/1/2024,1,56.83,FENC
7/1/2024,1,39.38,FENC
7/1/2024,1,33.09,FENC
7/1/2024,1,52.8,FENC
7/1/2024,1,41.75,FENC
7/1/2024,1,44.13,FENC
7/1/2024,1,57.64,FENC
7/1/2024,1,44.26,FENC
7/1/2024,1,47.49,FENC
7/1/2024,1,35.15,FENC
7/1/2024,1,25.48,FENC
7/1/2024,1,43.13,FENC
7/1/2024,1,50.97,FENC
7/1/2024,1,36.52,FENC
7/1/2024,1,47.77,FENC
7/1/2024,1,30.71,FENC
7/1/2024,1,37.1,FENC
7/1/2024,1,48.87,FENC
7/1/2024,1,50.37,FENC
7/1/2024,1,31.79,FENC
7/1/2024,1,32.29,FENC
7/1/2024,1,55.04,FENC
7/1/2024,1,29.59,FENC
7/1/2024,1,33.49,FENC
7/1/2024,1,23.71,FENC
7/1/2024,1,37.15,FENC
7/1/2024,1,34.47,FENC
7/1/2024,1,29.29,FENC
7/1/2024,1,31.31,FENC
7/1/2024,1,60.09,FENC
7/1/2024,1,31.49,FENC
7/1/2024,1,41.46,FENC
7/1/2024,1,37.25,FENC
7/1/2024,1,61.39,FENC
7/1/2024,1,26.98,FENC
7/1/2024,1,26,FENC
7/1/2024,1,29.94,FENC
7/1/2024,1,45.56,FENC
7/1/2024,1,34.95,FENC
7/1/2024,2,41.62,FENC
7/1/2024,2,34.65,FENC
7/1/2024,2,25.62,FENC
7/1/2024,2,31.59,FENC
7/1/2024,2,52.15,FENC
7/1/2024,2,42.46,FENC
7/1/2024,2,38.7,FENC
7/1/2024,2,29.76,FENC
7/1/2024,2,37.19,FENC
7/1/2024,2,40.55,FENC
7/1/2024,2,57.4,FENC
7/1/2024,2,36.07,FENC
7/1/2024,2,44.42,FENC
7/1/2024,2,44.99,FENC
7/1/2024,2,39.81,FENC
7/1/2024,2,50.85,FENC
7/1/2024,2,42.48,FENC
7/1/2024,2,52.25,FENC
7/1/2024,2,18.76,FENC
7/1/2024,2,44.33,FENC
7/1/2024,2,38.98,FENC
7/1/2024,2,40.65,FENC
7/1/2024,2,47.84,FENC
7/1/2024,2,54.26,FENC
7/1/2024,2,51.24,FENC
7/1/2024,2,52.99,FENC
7/1/2024,2,33.92,FENC
7/1/2024,2,42.51,FENC
7/1/2024,2,35.95,FENC
7/1/2024,2,49.1,FENC
7/1/2024,2,33.38,FENC
7/1/2024,2,40.2,FENC
7/1/2024,2,32.93,FENC
7/1/2024,2,39.18,FENC
7/1/2024,2,47.04,FENC
7/1/2024,2,38.84,FENC
7/1/2024,2,35.86,FENC
7/1/2024,2,28.8,FENC
7/1/2024,2,46.93,FENC
7/1/2024,2,37.72,FENC
7/1/2024,2,56.26,FENC
7/1/2024,2,30.63,FENC
7/1/2024,2,45.55,FENC
7/1/2024,2,40.57,FENC
7/1/2024,2,56.84,FENC
7/1/2024,2,34.85,FENC
7/1/2024,2,41.04,FENC
7/1/2024,2,29.9,FENC
7/1/2024,2,31.75,FENC
7/1/2024,2,34.87,FENC
7/1/2024,2,35.69,FENC
7/1/2024,2,62.15,FENC
7/1/2024,2,49.88,FENC
7/1/2024,2,30.79,FENC
7/1/2024,2,37.37,FENC
7/1/2024,2,40.98,FENC
7/1/2024,2,29.71,FENC
7/1/2024,2,32.83,FENC
7/1/2024,2,47.34,FENC
7/1/2024,2,38.98,FENC
7/1/2024,2,27.56,FENC
7/1/2024,2,34.77,FENC
7/1/2024,2,37.39,FENC
7/1/2024,2,34.73,FENC
7/1/2024,2,39.11,FENC
7/1/2024,2,48.17,FENC
7/1/2024,2,27.91,FENC
7/1/2024,2,46.78,FENC
7/1/2024,2,44.86,FENC
7/1/2024,2,28.7,FENC
7/1/2024,2,17.81,FENC
7/1/2024,2,32.69,FENC
7/1/2024,2,43.71,FENC
7/1/2024,2,36.72,FENC
7/1/2024,2,32.58,FENC
7/1/2024,2,45.41,FENC
7/1/2024,2,36.3,FENC
7/1/2024,2,56.78,FENC
7/1/2024,2,38.99,FENC
7/1/2024,2,41.67,FENC
7/1/2024,3,31.74,FENC
7/1/2024,3,27.32,FENC
7/1/2024,3,42.58,FENC
7/1/2024,3,38.15,FENC
7/1/2024,3,39.84,FENC
7/1/2024,3,44.31,FENC
7/1/2024,3,46.54,FENC
7/1/2024,3,38.5,FENC
7/1/2024,3,33.73,FENC
7/1/2024,3,43.4,FENC
7/1/2024,3,46.24,FENC
7/1/2024,3,31.25,FENC
7/1/2024,3,54.25,FENC
7/1/2024,3,59.9,FENC
7/1/2024,3,35.23,FENC
7/1/2024,3,43.3,FENC
7/1/2024,3,62.14,FENC
7/1/2024,3,44.02,FENC
7/1/2024,3,41.37,FENC
7/1/2024,3,24.33,FENC
7/1/2024,3,29.27,FENC
7/1/2024,3,42.92,FENC
7/1/2024,3,38.41,FENC
7/1/2024,3,52.15,FENC
7/1/2024,3,33.19,FENC
7/1/2024,3,42.28,FENC
7/1/2024,3,49.87,FENC
7/1/2024,3,41.33,FENC
7/1/2024,3,41.07,FENC
7/1/2024,3,34.41,FENC
7/1/2024,3,49.48,FENC
7/1/2024,3,41.23,FENC
7/1/2024,3,39.52,FENC
7/1/2024,3,43.18,FENC
7/1/2024,3,44.38,FENC
7/1/2024,3,35.16,FENC
