lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr1_etoh,ggr2_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh
0723FENC_01,7/12/2023,FENC,1,upper,oceanside_sun,7/13/2023,74.18,102.79,65.09,26.41,4_fair_plus,"Oceanside; conchiolin; polydora, mud blisters; scaring",TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_02,7/12/2023,FENC,2,upper,oceanside_sun,7/13/2023,67.24,102.13,47.07,21.96,2_good,"Oceanside; conchiolin; polydora, mud blisters; scaring",TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_03,7/12/2023,FENC,3,upper,oceanside_sun,7/13/2023,112.28,123.3,55.85,33.08,6_fair_minus,"Oceanside; pea crab: conchiolin; polydora, mud blisters; scaring",TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_04,7/12/2023,FENC,4,upper,oceanside_sun,7/13/2023,76.08,101.07,56.2,25.27,4_fair_plus,"Oceanside; conchiolin; polydora, mud blisters; scaring",TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_05,7/12/2023,FENC,5,upper,oceanside_sun,7/13/2023,123.75,137.53,52.65,33.85,3_good_minus,"Oceanside; conchiolin; polydora, mud blisters; scaring",TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_06,7/12/2023,FENC,6,lower,oceanside_sun,7/13/2023,65.35,121.67,55.74,22.39,4_fair_plus,"Oceanside; conchiolin; polydora, mud blisters; scaring",TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_07,7/12/2023,FENC,7,lower,oceanside_sun,7/13/2023,90.1,91.35,57.74,22.67,3_good_minus,"Oceanside; conchiolin; polydora, mud blisters; scaring",TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_08,7/12/2023,FENC,8,lower,oceanside_sun,7/13/2023,73.91,104.03,63.47,23.3,3_good_minus,"Oceanside; conchiolin; polydora, mud blisters; scaring",TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_09,7/12/2023,FENC,9,lower,oceanside_sun,7/13/2023,117.72,119.32,55.38,24.37,2_good,"Oceanside; conchiolin; polydora, mud blisters; scaring",TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_10,7/12/2023,FENC,10,lower,oceanside_sun,7/13/2023,60.78,98.31,52.63,30.28,5_fair,"Oceanside; conchiolin; polydora, mud blisters; scaring",TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_11,7/12/2023,FENC,11,upper,under_bridge,7/13/2023,62.3,121.28,51.64,16.27,3_good_minus,conchiolin; polydora/worms; mud blisters,TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_12,7/12/2023,FENC,12,upper,under_bridge,7/13/2023,63.96,106.46,53.6,18.69,3_good_minus,conchiolin; polydora/worms; mud blisters,TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_13,7/12/2023,FENC,13,upper,under_bridge,7/13/2023,64.3,96.73,49.95,25.53,2_good,conchiolin; polydora/worms; mud blisters,TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_14,7/12/2023,FENC,14,upper,under_bridge,7/13/2023,35.11,81.16,44.15,15.43,2_good,conchiolin; polydora/worms; mud blisters,TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_15,7/12/2023,FENC,15,upper,under_bridge,7/13/2023,39.04,72.65,46.52,18,2_good,conchiolin; polydora/worms; mud blisters,TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_16,7/12/2023,FENC,16,lower,under_bridge,7/13/2023,261.16,133.41,78.61,38.16,3_good_minus,conchiolin; polydora/worms; mud blisters,TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
0723FENC_17,7/12/2023,FENC,17,lower,under_bridge,7/13/2023,94.1,121.39,60.71,15.4,3_good_minus,conchiolin; polydora/worms; mud blisters,TRUE,TRUE,TRUE,TRUE,TRUE,7/13/2023,
