lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr1_etoh,ggr2_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh
0623FENC_01,2023-06-14,FENC,1,upper,sunlight,2023-06-15,87.45,128.75,45.33,25.43,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-06-15,
0623FENC_02,2023-06-14,FENC,2,upper,sunlight,2023-06-15,113.61,131.76,57.79,24.33,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,2023-06-15,
0623FENC_03,2023-06-14,FENC,3,upper,sunlight,2023-06-15,34.62,87.24,47.3,23.14,6_fair_minus,significant mantle recession. fiddler crab in shell cavity,TRUE,TRUE,TRUE,FALSE,TRUE,2023-06-15,
0623FENC_04,2023-06-14,FENC,4,upper,sunlight,2023-06-15,50.11,98.12,42.79,20.57,4_fair_plus,polydora worm; light conchiolin,TRUE,TRUE,TRUE,FALSE,TRUE,2023-06-15,
0623FENC_05,2023-06-14,FENC,5,upper,sunlight,2023-06-15,42.03,87.38,44.43,19.55,4_fair_plus,polydora; conchiolin,TRUE,TRUE,TRUE,FALSE,TRUE,2023-06-15,
0623FENC_06,2023-06-14,FENC,6,lower,sunlight,2023-06-15,79.92,99.01,50.95,25.21,7_poor_plus,"pea crab, conchiolin,  boring sponge ",TRUE,TRUE,TRUE,FALSE,TRUE,2023-06-15,
0623FENC_07,2023-06-14,FENC,7,lower,sunlight,2023-06-15,64.6,117.47,51.85,22.02,5_fair,"pea crab, conchiolin ",TRUE,TRUE,TRUE,FALSE,TRUE,2023-06-15,
0623FENC_08,2023-06-14,FENC,8,lower,sunlight,2023-06-15,69.07,134.8,52.77,28.81,7_poor_plus,"conchiolin, boring sponge ",TRUE,TRUE,TRUE,FALSE,TRUE,2023-06-15,
0623FENC_09,2023-06-14,FENC,9,lower,sunlight,2023-06-15,48.1,113.87,47.55,19.8,3_good_minus,conchiolin ,TRUE,TRUE,TRUE,FALSE,TRUE,2023-06-15,
0623FENC_10,2023-06-14,FENC,10,lower,sunlight,2023-06-15,66.59,124.16,49.78,20.91,3_good_minus,conchiolin ,TRUE,TRUE,TRUE,FALSE,TRUE,2023-06-15,
0623FENC_11,2023-06-14,FENC,11,upper,under_bridge,2023-06-15,59.04,108.91,40.75,22.65,3_good_minus,"conchiolin, polydora mud blisters ",TRUE,TRUE,TRUE,FALSE,TRUE,2023-06-15,
0623FENC_12,2023-06-14,FENC,12,upper,under_bridge,2023-06-15,96.28,102.8,59.57,30.12,3_good_minus,"conchiolin,  mud blisters ",TRUE,TRUE,TRUE,FALSE,TRUE,2023-06-15,
0623FENC_13,2023-06-14,FENC,13,upper,under_bridge,2023-06-15,73.91,121.62,49.37,22.18,4_fair_plus,"conchiolin, mud blisters",TRUE,TRUE,TRUE,FALSE,TRUE,2023-06-15,
0623FENC_14,2023-06-14,FENC,14,upper,under_bridge,2023-06-15,92.05,137.98,56.83,21.15,2_good,"conchiolin, mud blisters ",TRUE,TRUE,TRUE,FALSE,TRUE,2023-06-15,
0623FENC_15,2023-06-14,FENC,15,upper,under_bridge,2023-06-15,90.37,144.3,52.47,22.93,3_good_minus,"conchiolin, mud blisters ",TRUE,TRUE,TRUE,FALSE,TRUE,2023-06-15,
0623FENC_16,2023-06-14,FENC,16,lower,under_bridge,2023-06-15,111.68,112.95,60.29,27.54,3_good_minus,"conchiolin , mud blisters ",TRUE,TRUE,TRUE,FALSE,TRUE,2023-06-15,
0623FENC_17,2023-06-14,FENC,17,lower,under_bridge,2023-06-15,138.77,114.91,65.93,33.59,7_poor_plus,conchiolin and mud blisters,TRUE,TRUE,TRUE,FALSE,TRUE,2023-06-15,
