lab_id,date_collected,site,lab_sample,date_rftmread1,rftm_reader1,rftm_intensity_read1,duplicate_read,date_rftmread2,rftm_reader2,rftm_intensity_read2,rftm_notes,rftm_final
0723LAUR_01,2023-07-17,LAUR,1,2023-07-24,Mariah Kachmar,0.5,TRUE,2023-07-24,Isaiah Mayo,0.5,,0.5
0723LAUR_02,2023-07-17,LAUR,2,2023-07-24,Mariah Kachmar,2,TRUE,2023-07-24,Isaiah Mayo,1,,2
0723LAUR_03,2023-07-17,LAUR,3,2023-07-24,Mariah Kachmar,3,TRUE,2023-07-24,Isaiah Mayo,3,,3
0723LAUR_04,2023-07-17,LAUR,4,2023-07-24,Isaiah Mayo,0.5,FALSE,,,,,0.5
0723LAUR_05,2023-07-17,LAUR,5,2023-07-24,Mariah Kachmar,0.5,FALSE,,,,,0.5
0723LAUR_06,2023-07-17,LAUR,6,2023-07-24,Mariah Kachmar,2,FALSE,,,,,2
0723LAUR_07,2023-07-17,LAUR,7,2023-07-24,Mariah Kachmar,2,FALSE,,,,,2
0723LAUR_08,2023-07-17,LAUR,8,2023-07-24,Mariah Kachmar,2,FALSE,,,,,2
0723LAUR_09,2023-07-17,LAUR,9,2023-07-24,Isaiah Mayo,2,FALSE,,,,,2
0723LAUR_10,2023-07-17,LAUR,10,2023-07-24,Isaiah Mayo,1,FALSE,,,,,1
0723LAUR_11,2023-07-17,LAUR,11,2023-07-24,Mariah Kachmar,2,FALSE,,,,,2
0723LAUR_12,2023-07-17,LAUR,12,2023-07-24,Mariah Kachmar,1,FALSE,,,,,1
0723LAUR_13,2023-07-17,LAUR,13,2023-07-24,Isaiah Mayo,2,FALSE,,,,,2
0723LAUR_14,2023-07-17,LAUR,14,2023-07-24,Isaiah Mayo,1,FALSE,,,,,1
0723LAUR_15,2023-07-17,LAUR,15,2023-07-24,Isaiah Mayo,3,FALSE,,,,,3
0723LAUR_16,2023-07-17,LAUR,16,2023-07-24,Isaiah Mayo,2,FALSE,,,,,2
